seq,level,component,parent,part_number,qty,status,fastener,f.qty,loctite,torque
,L3,PILLAR BASE,L2 Structural Parts,NXMP-0200012-0-1,1,NOT_STARTED,,,,
,L3,L2 Support Rib 1,L2 Structural Parts,NXMP-0200016-0-1,2,NOT_STARTED,,,,
,L3,L2 Support Rib 2,L2 Structural Parts,NXMP-0200017-0-1,2,NOT_STARTED,,,,
,L3,L2 Slider Plate,L2 Structural Parts,NXMP-0200022-0-0,1,NOT_STARTED,,,,
,L3,L2 Pillar Bottom Cover,L2 Structural Parts,NXMP-0200027-0-0,1,NOT_STARTED,,,,
,L3,Cable Carrier Nut Plate,L2 Structural Parts,NXMP-0100094-0-0,2,NOT_STARTED,,,,
11,L2,L2 Cable Carriers,L2 Next Gen Assy,,1,NOT_STARTED,,,,
,L3,L2 Cable carrier L1-L2,L2 Cable Carriers,NXMP-0200036-0-1,1,NOT_STARTED,,,,
,L3,L2 Cable carrier L2-L3,L2 Cable Carriers,NXMP-0200037-0-1,1,NOT_STARTED,,,,
,L3,Energy Chain,L2 Cable Carriers,E4_380_062,1,NOT_STARTED,,,,
12,L2,L2 Brackets,L2 Next Gen Assy,,1,NOT_STARTED,,,,
,L3,L2 Elec BOX R Bracket 2,L2 Brackets,NXMP-0200049-0-1,2,NOT_STARTED,,,,
,L3,L2 Elec BOX L Bracket 1,L2 Brackets,NXMP-0200053-0-0,2,NOT_STARTED,,,,
13,L2,L2 Purchased Parts,L2 Next Gen Assy,,1,NOT_STARTED,,,,
,L3,Ø5 Rope,L2 Purchased Parts,01505-0500-205,2,NOT_STARTED,,,,
,L3,Cable Cramp Belt Type,L2 Purchased Parts,TL-25A,17,NOT_STARTED,,,,
,L3,Cable Clip,L2 Purchased Parts,UC-4,2,NOT_STARTED,,,,
,L3,Shackle,L2 Purchased Parts,S-1110-3,2,NOT_STARTED,,,,
,L3,Turn Buckle,L2 Purchased Parts,EA63895-108,2,NOT_STARTED,,,,
,L3,Positioning Pin Screw Type,L2 Purchased Parts,LPADZB6-P8-B7-G3-L5-ML6-NWC,4,NOT_STARTED,,,,
