seq,level,component,parent,part_number,qty,status,fastener,f.qty,loctite,torque
,L5,6mm Elbow,Pressure Sensor,PLJ6,1,NOT_STARTED,,,,
,L3,M4x8 Short Head Screw,Meter Panel Assy,CBSTBR4-8,8,NOT_STARTED,,,,
,L3,NR Sponge Tape,Meter Panel Assy,KSNR-10036T,1,NOT_STARTED,,,,
11,L2,CE Solenoid Bracket Assy,Compressor,NXMA-0700067-0-0,1,NOT_STARTED,,,,
,L3,CE Solenoid Bracket,CE Solenoid Bracket Assy,NXMP-0700167-0-0,1,NOT_STARTED,CBE3-15,4,,
,L3,6mm Tubing,CE Solenoid Bracket Assy,TU0604BU-20,4,NOT_STARTED,,,,
,L3,Solenoid,CE Solenoid Bracket Assy,SYJ314-5MZ-M5,2,NOT_STARTED,,,,
,L3,M5x0.8 to 6mm Elbow,CE Solenoid Bracket Assy,PL6-M5M,2,NOT_STARTED,,,,
,L3,M5x0.8 to 6mm Fitting,CE Solenoid Bracket Assy,PC6-M5M,2,NOT_STARTED,,,,
,L3,6mm T-Fitting,CE Solenoid Bracket Assy,PE6,1,NOT_STARTED,,,,
12,L2,CE Pilot Valve Assy,Compressor,NXMA-0700068-0-0,1,NOT_STARTED,,,,
,L3,CE Pilot Valve Bracket,CE Pilot Valve Assy,NXMP-0700156-0-1,1,NOT_STARTED,CBE4-8,4,,
,L3,6mm Tubing,CE Pilot Valve Assy,TU0604BU-20,2,NOT_STARTED,,,,
,L3,Valve,CE Pilot Valve Assy,VNA102B-6A,2,NOT_STARTED,,,,
,L3,6mm to R1/8 Elbow,CE Pilot Valve Assy,PL6-01,2,NOT_STARTED,,,,
,L3,R1/8 Silencer,CE Pilot Valve Assy,AN10-01,2,NOT_STARTED,,,,
,L3,R1/8 to R3/8 Nipple,CE Pilot Valve Assy,SJSRND13,2,NOT_STARTED,,,,
,L3,R3/8 to Rc3/8 Elbow,CE Pilot Valve Assy,SJSXL10A,2,NOT_STARTED,,,,
,L3,0.8M Metal Hose,CE Pilot Valve Assy,HOEMF10A-0.8-LB-RB,2,NOT_STARTED,,,,
,L3,1.5M Metal Hose,CE Pilot Valve Assy,HOEMF10A-1.5-LB-RB,2,NOT_STARTED,,,,
13,L2,CE Check Valve Assy,Compressor,NXMA-0700069-0-0,1,NOT_STARTED,,,,
,L3,CE Check Panel,CE Check Valve Assy,NXMP-0700161-0-0,1,NOT_STARTED,CBE4-8,4,,
,L3,Check Valve,CE Check Valve Assy,CHV2-10,2,NOT_STARTED,,,,
,L3,R3/8 to Rc3/8 Elbow,CE Check Valve Assy,SJSXL10A,4,NOT_STARTED,,,,
,L3,R3/8 T-Fitting,CE Check Valve Assy,SJSMT10A,3,NOT_STARTED,,,,
,L3,Cable Tie Anchor Mount,CE Check Valve Assy,CTAM1-HS,4,NOT_STARTED,,,,
,L3,130C Zip Tie,CE Check Valve Assy,T30R-HR,4,NOT_STARTED,,,,
,L3,1.5M Metal Hose Female A,CE Check Valve Assy,HOEMF10A-1.5-LB-RA,1,NOT_STARTED,,,,
,L3,0.8M Metal Hose Female B,CE Check Valve Assy,HOEMF10A-0.8-LB-RB,2,NOT_STARTED,,,,
,L3,1.5M Metal Hose Female B,CE Check Valve Assy,HOEMF10A-1.5-LB-RB,2,NOT_STARTED,,,,
14,L2,CE Compressor Door,Compressor,NXMA-0700072-0-0,1,NOT_STARTED,,,,
,L3,CE Compressor Door Panel,CE Compressor Door,NXMP-0700170-0-0,1,NOT_STARTED,,,,
,L3,CE Fan,CE Compressor Door,NXMA-0700018-0-0,1,NOT_STARTED,,,,
